时段,短期预测风速,短期预测功率,实测风速,实测功率
20180814,短期预测风速(m/s),短期预测功率(MW),实测风速(m/s),实测功率(MW)
00:00,10.61,40.50,12.73,50.09
00:15,10.57,40.30,9.41,36.47
00:30,10.51,40.06,11.03,48.65
00:45,10.37,39.62,12.02,48.34
01:00,10.11,38.82,13.31,43.25
01:15,9.79,37.75,12.51,46.37
01:30,9.75,37.59,12.30,50.67
01:45,9.69,37.36,11.48,42.46
02:00,9.62,37.11,10.75,48.38
02:15,9.56,36.87,10.24,46.03
02:30,9.47,36.56,11.02,49.45
02:45,9.38,36.20,10.20,45.10
03:00,9.25,35.73,9.97,43.71
03:15,9.12,35.23,10.00,44.68
03:30,8.99,34.71,9.98,41.91
03:45,8.86,34.17,8.66,32.92
04:00,8.74,33.62,8.17,28.46
04:15,8.61,33.05,7.87,24.73
04:30,8.49,32.46,7.29,20.91
04:45,8.37,31.85,7.30,21.11
05:00,8.25,31.24,7.38,20.60
05:15,8.13,30.66,6.82,16.72
05:30,8.07,30.27,6.69,15.31
05:45,8.01,29.93,6.32,14.34
06:00,7.96,29.62,6.58,15.03
06:15,7.92,29.33,6.72,16.25
06:30,7.88,29.07,6.82,17.21
06:45,7.84,28.84,6.92,17.46
07:00,7.80,28.58,7.23,18.53
07:15,7.75,28.24,6.26,13.51
07:30,7.68,27.84,5.69,10.45
07:45,7.61,27.39,6.08,11.99
08:00,7.53,26.92,5.89,11.53
08:15,7.47,26.47,5.97,11.46
08:30,7.40,26.06,5.43,9.18
08:45,7.34,25.67,5.12,7.65
09:00,7.28,25.28,5.21,7.84
09:15,7.22,24.89,4.77,6.32
09:30,7.17,24.59,4.82,5.99
09:45,7.15,24.43,4.53,5.29
10:00,7.15,24.38,4.47,4.69
10:15,7.16,24.42,4.58,5.27
10:30,7.17,24.51,4.41,4.76
10:45,7.20,24.62,4.51,5.07
11:00,7.17,24.56,4.76,5.79
11:15,7.14,24.53,4.74,6.07
11:30,7.12,24.54,4.69,5.52
11:45,7.12,24.65,4.72,5.60
12:00,7.14,24.85,4.46,5.09
12:15,7.16,25.10,4.57,5.64
12:30,7.19,25.42,5.24,8.28
12:45,7.23,25.80,6.21,13.12
13:00,7.28,26.23,6.20,13.08
13:15,7.33,26.68,7.10,19.70
13:30,7.44,27.32,7.45,22.21
13:45,7.54,27.94,7.02,19.46
14:00,7.65,28.55,7.24,20.56
14:15,7.74,29.07,8.05,26.51
14:30,7.80,29.47,8.09,27.39
14:45,7.87,29.83,8.14,26.55
15:00,7.89,30.01,8.82,31.63
15:15,7.89,30.08,9.62,39.06
15:30,7.87,30.07,9.36,35.90
15:45,7.84,29.97,9.31,36.52
16:00,7.80,29.81,8.87,33.24
16:15,7.75,29.56,8.92,33.91
16:30,7.69,29.22,10.22,42.50
16:45,7.61,28.80,10.19,41.94
17:00,7.52,28.30,10.38,42.55
17:15,7.41,27.64,10.53,44.95
17:30,7.29,26.88,9.73,39.57
17:45,7.15,25.95,9.63,34.71
18:00,6.99,24.85,9.69,39.11
18:15,6.81,23.69,9.23,35.53
18:30,6.65,22.56,8.43,29.40
18:45,6.50,21.50,7.38,21.03
19:00,6.36,20.62,7.15,20.47
19:15,6.22,19.77,7.78,24.16
19:30,6.08,18.94,7.58,21.50
19:45,5.95,18.20,7.42,20.70
20:00,5.85,17.61,7.28,19.54
20:15,5.77,17.19,6.69,15.12
20:30,5.71,16.90,6.99,16.84
20:45,5.66,16.66,7.58,21.72
21:00,5.61,16.40,6.25,12.62
21:15,5.54,16.11,6.84,16.39
